title,price,surface,rooms,baths,garages,private area,builded area,estrato,antiquity,price m2,administration
Apartamento en Venta Bello paris,$ 83.000.000,"39,00 m²",2,1,nan,nan,"39,00m²",2,Menosde1año,2.128.205/m²,nan
Apartamento en Venta Bello La Cabañita,$ 240.000.000,"97,00 m²",3,2,1,nan,"97,00m²",4,9a15años,2.474.227/m²,nan
C26,Desde $ 190.250.000 Hasta $ 268.756.000,"47,50 a 71,42 m²",1,1,1,nan,"47,50a71,42m²",4,nan,nan,nan
Apartamento en Venta Bello prado,$ 202.508.000,"64,00 m²",3,2,1,"64,00m²","64,00m²",3,Menosde1año,3.164.188/m²,"$150,000"
Apartamento en Venta Bello La madera Bello,$ 172.000.000,"58,00 m²",2,2,nan,"58,00m²","58,00m²",3,1a8años,2.965.517/m²,"$116,950"
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
Apartamento en Venta Bello Niquia,$ 245.000.000,"66,00 m²",3,2,1,nan,"66,00m²",4,Menosde1año,3.712.121/m²,"$150,000"
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
Apartamento en Venta Bello Villa Norte,$ 140.000.000,"62,00 m²",3,1,nan,"62,00m²","62,00m²",3,16a30años,2.258.065/m²,"$100,000"
Apartamento en Venta Bello GANGAZO EN CABAÑITAS,$ 190.000.000,"110,00 m²",4,2,nan,nan,"110,00m²",3,1a8años,1.727.273/m²,nan
Apartamento en Venta Bello estacion madera,$ 200.000.000,"56,00 m²",3,2,1,"56,00m²","56,00m²",3,1a8años,3.571.429/m²,nan
Apartamento en Venta Bello LA MADERA,$ 140.000.000,"61,00 m²",3,2,nan,"61,00m²","61,00m²",3,Menosde1año,2.295.082/m²,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
Apartamento en Venta Bello Conjunto Puerta Madera,$ 230.000.000,"64,00 m²",3,2,1,"64,00m²","64,00m²",3,1a8años,3.593.750/m²,"$143,500"
Florida Norteamerica,Desde $ 186.460.000 Hasta $ 260.000.000,"56,92 a 89,63 m²",3,2,nan,nan,"56,92a89,63m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
Apartamento en Venta Bello Conjunto Puerta Madera,$ 155.000.000,"59,00 m²",3,2,nan,"59,00m²","59,00m²",3,1a8años,2.627.119/m²,"$129,000"
Apartamento en Venta Bello Conjunto Puerta Madera,$ 179.000.000,"59,00 m²",3,2,1,"59,00m²","59,00m²",3,1a8años,3.033.898/m²,"$130,000"
C26,Desde $ 190.250.000 Hasta $ 268.756.000,"47,50 a 71,42 m²",1,1,1,nan,"47,50a71,42m²",4,nan,nan,nan
Apartamento en Venta Bello cabañitas parte baja,$ 330.000.000,"146,00 m²",3,3,1,"146,00m²","146,00m²",4,1a8años,2.260.274/m²,nan
Apartamento en Venta Bello Niquia Cerro Azul,$ 162.500.000,"59,00 m²",3,2,1,"59,00m²","59,00m²",3,1a8años,2.754.237/m²,"$120,000"
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
Apartamento en Venta Bello ESPECTACULAR DUPLEX EN CABAÑAS PARTE BAJA,$ 380.000.000,"154,00 m²",4,4,1,nan,"154,00m²",4,Menosde1año,2.467.532/m²,nan
Apartamento en Venta Bello BELLO,$ 235.047.000,"78,00 m²",3,1,nan,nan,"78,00m²",4,Menosde1año,3.013.423/m²,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
Apartamento en Venta Bello GANGA BAJÓ DE PRECIO UNIDAD RINCÓN DEL BOSQUE,$ 125.000.000,"62,00 m²",3,2,nan,nan,"62,00m²",3,1a8años,2.016.129/m²,nan
Apartamento en Venta Bello LA MADERA,$ 190.000.000,"65,00 m²",2,2,1,nan,"65,00m²",3,nan,2.923.077/m²,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
Apartamento en Venta Bello BONITO PARA ESTRENAR EN VALADARES BELLO,$ 125.000.000,"60,00 m²",3,1,nan,nan,"60,00m²",3,Menosde1año,2.083.333/m²,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
Apartamento en Venta Bello Niquia,$ 225.000.000,"65,00 m²",3,2,1,nan,"65,00m²",4,1a8años,3.461.538/m²,"$150,000"
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
Apartamento en Venta Bello NIQUIA,$ 125.000.000,"39,00 m²",2,1,1,"39,00m²","39,00m²",3,1a8años,3.205.128/m²,"$125,000"
Apartamento en Venta Bello SANTA ANA,$ 190.000.000,"60,00 m²",3,2,1,nan,"60,00m²",3,nan,3.166.667/m²,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
Apartamento en Venta Bello ESPECTACULAR APTO DUPLEX EN CABAÑAS PARTE BAJA,$ 320.000.000,"166,00 m²",4,3,1,nan,"166,00m²",3,Menosde1año,1.927.711/m²,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
Apartamento en Venta Bello NIQUIA,$ 145.000.000,"86,00 m²",2,1,nan,"86,00m²","86,00m²",3,1a8años,1.686.047/m²,nan
Apartamento en Venta Bello BELLO,$ 190.000.000,"60,00 m²",3,2,1,"60,00m²","60,00m²",3,1a8años,3.166.667/m²,nan
