title,price,surface,rooms,baths,garages,private area,builded area,estrato,antiquity,price m2,administration
Apartamento en Venta La Ceja la ceja,$ 210.000.000,"68,00 m²",2,2,1,"68,00m²","68,00m²",4,Menosde1año,3.088.235/m²,nan
Apartamento en Venta La Ceja San Cayetano,$ 310.000.000,"85,00 m²",3,2,1,"85,00m²","85,00m²",4,1a8años,3.647.059/m²,"$180,000"
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja fatima,$ 181.027.200,"55,00 m²",2,2,nan,"55,00m²","55,00m²",4,Menosde1año,3.291.404/m²,"$120,000"
Apartamento en Venta La Ceja LA CEJA,$ 185.000.000,"62,00 m²",2,2,nan,nan,"62,00m²",4,nan,2.983.871/m²,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja LA CEJA,$ 180.000.000,"69,00 m²",3,2,nan,nan,"69,00m²",3,nan,2.608.696/m²,"$70,000E"
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja LA CEJA,$ 220.000.000,"78,00 m²",3,2,nan,nan,"78,00m²",3,nan,2.820.513/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 235.000.000,"60,00 m²",2,2,1,"59,00m²","60,00m²",4,Menosde1año,3.916.667/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 175.000.000,"73,00 m²",2,2,nan,"73,00m²","73,00m²",3,1a8años,2.397.260/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 155.000.000,"93,00 m²",3,1,nan,"93,00m²","93,00m²",3,1a8años,1.666.667/m²,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja PAYUCO,$ 280.000.000,"120,00 m²",3,3,nan,"120,00m²","120,00m²",4,nan,2.333.333/m²,nan
Edificio El Encanto,Desde $ 149.000.000 Hasta $ 173.000.000,"79,00 a 89,00 m²",3,2,nan,nan,"79,00a89,00m²",3,nan,nan,nan
Apartamento en Venta La Ceja LA CEJA,$ 180.000.000,"78,00 m²",3,2,nan,"74,00m²","78,00m²",3,Menosde1año,2.307.692/m²,nan
